x,y,u1,u2,p
0.03,0.28,-0.00151745,0.0120851,-0.0186307
0.03,0.29,-0.00161041,0.0129652,-0.018315
0.03,0.3,-0.00170336,0.0138452,-0.0179993
0.03,0.31,-0.00168856,0.0148912,-0.0204803
0.03,0.32,-0.00168081,0.0160396,-0.0229614
0.03,0.33,-0.00168011,0.0172905,-0.0254424
0.03,0.34,-0.0017958,0.0185622,-0.0268785
0.03,0.35,-0.00191148,0.019834,-0.0283146
0.03,0.36,-0.00202717,0.0211057,-0.0297506
0.03,0.37,-0.00214285,0.0223775,-0.0311867
0.03,0.38,-0.00225854,0.0236493,-0.0326228
0.03,0.39,-0.00237422,0.024921,-0.0340589
0.03,0.4,-0.00248991,0.0261928,-0.035495
0.03,0.41,-0.0024601,0.0277405,-0.0409194
0.03,0.42,-0.00243307,0.0294012,-0.0463438
0.03,0.43,-0.0024088,0.0311749,-0.0517682
0.03,0.44,-0.00255137,0.032947,-0.0556247
0.03,0.45,-0.00269395,0.0347192,-0.0594813
0.03,0.46,-0.00283652,0.0364913,-0.0633379
0.03,0.47,-0.0029791,0.0382635,-0.0671945
0.03,0.48,-0.00312167,0.0400356,-0.0710511
0.03,0.49,-0.00326425,0.0418077,-0.0749077
0.03,0.5,-0.00340682,0.0435799,-0.0787643
0.03,0.51,-0.00355744,0.0460343,-0.0890772
0.03,0.52,-0.00368837,0.0485627,-0.0993901
0.03,0.53,-0.0037996,0.0511649,-0.109703
0.03,0.54,-0.00403637,0.0534621,-0.119293
0.03,0.55,-0.00427313,0.0557593,-0.128884
0.03,0.56,-0.0045099,0.0580565,-0.138474
0.03,0.57,-0.00474667,0.0603537,-0.148065
0.03,0.58,-0.00498344,0.0626508,-0.157655
0.03,0.59,-0.0052202,0.064948,-0.167246
0.03,0.6,-0.00545697,0.0672452,-0.176836
0.03,0.61,-0.00591946,0.0707604,-0.19332
0.03,0.62,-0.00633655,0.0744021,-0.209803
0.03,0.63,-0.00670823,0.0781701,-0.226287
0.03,0.64,-0.00678823,0.0814556,-0.245428
0.03,0.65,-0.00686824,0.0847411,-0.264568
0.03,0.66,-0.00694825,0.0880266,-0.283709
0.03,0.67,-0.00702826,0.0913121,-0.302849
0.03,0.68,-0.00710827,0.0945976,-0.32199
0.03,0.69,-0.00718827,0.0978831,-0.34113
0.03,0.7,-0.00726828,0.101169,-0.360271
0.03,0.71,-0.00578263,0.105576,-0.399481
0.03,0.72,-0.00390965,0.109441,-0.438691
0.03,0.73,-0.00164935,0.112764,-0.477901
0.03,0.74,-0.00168125,0.116699,-0.490988
